Data,Countries,Local,Industry Sector,Accident Level,Potential Accident Level,Genre,Employee ou Terceiro,Risco Critico
10/03/2016 00:00,Country_03,Local_10,Others,II,II,Male,Third Party,Others
24/03/2016 00:00,Country_03,Local_10,Others,IV,IV,Male,Third Party,Poll
22/03/2016 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Others
31/03/2016 00:00,Country_01,Local_03,Mining,I,II,Male,Third Party,Others
04/04/2016 00:00,Country_02,Local_09,Metals,III,IV,Male,Employee,Manual Tools
05/04/2016 00:00,Country_01,Local_06,Metals,I,III,Male,Third Party,Fall prevention (same level)
05/04/2016 00:00,Country_02,Local_05,Metals,I,III,Male,Third Party,Pressed
07/04/2016 00:00,Country_01,Local_03,Mining,I,II,Male,Third Party,Others
08/04/2016 00:00,Country_01,Local_03,Mining,I,IV,Male,Employee,Others
11/04/2016 00:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others
11/04/2016 00:00,Country_01,Local_01,Mining,I,IV,Male,Employee,Others
14/04/2016 00:00,Country_02,Local_08,Metals,I,III,Male,Employee,Pressurized Systems
14/04/2016 00:00,Country_01,Local_04,Mining,I,II,Male,Third Party,Others
16/04/2016 00:00,Country_01,Local_04,Mining,I,III,Male,Third Party,Others
16/04/2016 00:00,Country_01,Local_03,Mining,I,III,Male,Third Party,Others
15/04/2016 00:00,Country_01,Local_03,Mining,I,II,Male,Employee,Others
17/04/2016 00:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Cut
18/04/2016 00:00,Country_01,Local_03,Mining,I,III,Male,Third Party,Others
21/04/2016 00:00,Country_02,Local_02,Mining,I,V,Male,Employee,Others
22/04/2016 00:00,Country_01,Local_01,Mining,I,II,Male,Third Party,Others
23/04/2016 00:00,Country_01,Local_04,Mining,I,III,Male,Employee,Others
22/04/2016 00:00,Country_02,Local_05,Metals,II,IV,Male,Third Party,Pressurized Systems / Chemical Substances
26/04/2016 00:00,Country_02,Local_05,Metals,I,II,Female,Third Party,Cut
28/04/2016 00:00,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Chemical substances
29/04/2016 00:00,Country_01,Local_04,Mining,III,IV,Male,Third Party,Others
30/04/2016 00:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Pressed
30/04/2016 00:00,Country_01,Local_01,Mining,I,II,Male,Employee,Others
30/04/2016 00:00,Country_01,Local_03,Mining,IV,IV,Male,Third Party,Others
01/05/2016 00:00,Country_01,Local_04,Mining,I,IV,Male,Third Party,Others
02/05/2016 00:00,Country_02,Local_05,Metals,I,IV,Female,Third Party (Remote),Chemical substances
04/05/2016 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Manual Tools
03/05/2016 00:00,Country_01,Local_04,Mining,II,IV,Male,Third Party,Others
04/05/2016 00:00,Country_01,Local_04,Mining,I,III,Male,Employee,Others
04/05/2016 00:00,Country_02,Local_05,Metals,I,III,Female,Third Party (Remote),Chemical substances
04/05/2016 00:00,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Chemical substances
05/05/2016 00:00,Country_02,Local_05,Metals,I,III,Male,Third Party,Manual Tools
05/05/2016 00:00,Country_02,Local_08,Metals,I,II,Male,Third Party (Remote),Manual Tools
11/05/2016 00:00,Country_01,Local_03,Mining,I,III,Male,Third Party,Others
12/05/2016 00:00,Country_01,Local_06,Metals,I,II,Male,Third Party (Remote),Chemical substances
11/05/2016 00:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others
14/05/2016 00:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Others
17/05/2016 00:00,Country_01,Local_11,Others,I,II,Male,Employee,Others
19/05/2016 00:00,Country_01,Local_03,Mining,I,IV,Male,Third Party (Remote),Others
18/05/2016 00:00,Country_02,Local_05,Metals,I,III,Male,Employee,Others
22/05/2016 00:00,Country_02,Local_08,Metals,I,III,Male,Employee,Blocking and isolation of energies
20/05/2016 00:00,Country_01,Local_06,Metals,I,I,Male,Third Party,Fall prevention (same level)
22/05/2016 00:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others
24/05/2016 00:00,Country_03,Local_10,Others,IV,IV,Male,Third Party,Fall
12/05/2016 00:00,Country_01,Local_04,Mining,I,III,Male,Employee,Others
25/05/2016 00:00,Country_01,Local_04,Mining,II,III,Male,Employee,Others
27/05/2016 00:00,Country_02,Local_02,Mining,I,V,Male,Employee,Others
25/05/2016 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Bees
26/05/2016 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Bees
26/05/2016 00:00,Country_03,Local_10,Others,I,I,Male,Employee,Others
01/06/2016 00:00,Country_02,Local_05,Metals,I,III,Male,Employee,Cut
02/06/2016 00:00,Country_02,Local_05,Metals,I,III,Male,Employee,Cut
03/06/2016 00:00,Country_01,Local_01,Mining,I,II,Male,Third Party,Others
04/06/2016 00:00,Country_01,Local_04,Mining,V,V,Male,Third Party,Others
03/06/2016 00:00,Country_03,Local_10,Others,II,II,Male,Third Party,Others
05/06/2016 00:00,Country_01,Local_03,Mining,I,III,Male,Employee,Others
05/06/2016 00:00,Country_01,Local_06,Metals,I,I,Male,Employee,Fall prevention
08/06/2016 00:00,Country_01,Local_04,Mining,I,III,Male,Third Party,Others
07/06/2016 00:00,Country_01,Local_01,Mining,I,I,Male,Employee,Others
07/06/2016 00:00,Country_01,Local_03,Mining,I,III,Male,Third Party,Others
08/06/2016 00:00,Country_01,Local_06,Metals,IV,IV,Male,Employee,Fall prevention (same level)
08/06/2016 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Bees
08/06/2016 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Others
10/06/2016 00:00,Country_02,Local_05,Metals,I,III,Male,Third Party (Remote),Manual Tools
13/06/2016 00:00,Country_01,Local_01,Mining,I,IV,Male,Employee,Others
16/06/2016 00:00,Country_01,Local_03,Mining,I,IV,Male,Third Party,Others
16/06/2016 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Bees
