Data,Countries,Local,Industry Sector,Accident Level,Potential Accident Level,Genre,Employee ou Terceiro,Risco Critico
29/01/2017 00:00,Country_01,Local_01,Mining,I,III,Male,Third Party,Vehicles and Mobile Equipment
28/01/2017 00:00,Country_01,Local_01,Mining,I,III,Male,Employee,Vehicles and Mobile Equipment
31/01/2017 00:00,Country_02,Local_08,Metals,I,III,Male,Employee,Others
31/01/2017 00:00,Country_01,Local_01,Mining,I,IV,Male,Employee,Vehicles and Mobile Equipment
01/02/2017 00:00,Country_03,Local_10,Others,I,II,Male,Third Party,Projection/Choco
04/02/2017 00:00,Country_02,Local_02,Mining,I,III,Male,Employee,Manual Tools
05/02/2017 00:00,Country_03,Local_10,Others,I,II,Male,Employee,Others
07/02/2017 00:00,Country_01,Local_04,Mining,I,II,Male,Third Party,Others
07/02/2017 00:00,Country_01,Local_03,Mining,II,V,Male,Employee,remains of choco
08/02/2017 00:00,Country_01,Local_03,Mining,II,IV,Male,Third Party,Cut
08/02/2017 00:00,Country_02,Local_08,Metals,I,II,Female,Third Party,Others
08/02/2017 00:00,Country_02,Local_08,Metals,I,I,Male,Third Party (Remote),Pressed
08/02/2017 00:00,Country_01,Local_04,Mining,II,III,Male,Third Party,Cut
08/02/2017 00:00,Country_01,Local_06,Metals,I,III,Male,Employee,Machine Protection
09/02/2017 00:00,Country_01,Local_03,Mining,IV,V,Male,Third Party (Remote),Power lock
08/02/2017 00:00,Country_01,Local_06,Metals,I,I,Male,Third Party (Remote),Manual Tools
13/02/2017 00:00,Country_02,Local_08,Metals,II,III,Male,Employee,Pressed
13/02/2017 00:00,Country_02,Local_05,Metals,I,IV,Male,Employee,Projection
13/02/2017 00:00,Country_02,Local_05,Metals,III,IV,Male,Employee,Burn
14/02/2017 00:00,Country_01,Local_03,Mining,IV,V,Male,Third Party,Pressed
15/02/2017 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Venomous Animals
16/02/2017 00:00,Country_01,Local_03,Mining,I,II,Female,Third Party (Remote),Fall
17/02/2017 00:00,Country_01,Local_04,Mining,I,III,Male,Third Party,Projection/Manual Tools
17/02/2017 00:00,Country_01,Local_01,Mining,I,III,Male,Employee,Chemical substances
17/02/2017 00:00,Country_01,Local_01,Mining,I,IV,Male,Third Party,Projection
23/02/2017 00:00,Country_01,Local_04,Mining,IV,IV,Male,Third Party,Vehicles and Mobile Equipment
23/02/2017 00:00,Country_02,Local_07,Mining,I,III,Male,Third Party (Remote),Venomous Animals
25/02/2017 00:00,Country_01,Local_01,Mining,IV,IV,Male,Third Party (Remote),Fall
25/02/2017 00:00,Country_01,Local_01,Mining,I,III,Male,Employee,Projection
25/02/2017 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Venomous Animals
26/02/2017 00:00,Country_01,Local_01,Mining,I,III,Male,Third Party,Fall
26/02/2017 00:00,Country_02,Local_07,Mining,I,IV,Male,Employee,Fall prevention
27/02/2017 00:00,Country_01,Local_03,Mining,II,IV,Male,Third Party,remains of choco
27/02/2017 00:00,Country_02,Local_02,Mining,III,IV,Male,Employee,Others
01/03/2017 00:00,Country_01,Local_06,Metals,I,I,Male,Third Party (Remote),Others
02/03/2017 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Venomous Animals
02/03/2017 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Venomous Animals
02/03/2017 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Venomous Animals
04/03/2017 00:00,Country_02,Local_02,Mining,I,V,Male,Employee,Vehicles and Mobile Equipment
06/03/2017 00:00,Country_01,Local_04,Mining,I,III,Male,Third Party (Remote),Fall
08/03/2017 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Others
09/03/2017 00:00,Country_01,Local_03,Mining,I,V,Male,Third Party,Vehicles and Mobile Equipment
08/03/2017 00:00,Country_01,Local_01,Mining,V,V,Male,Third Party,Vehicles and Mobile Equipment
09/03/2017 00:00,Country_02,Local_05,Metals,I,III,Male,Third Party,Machine Protection
10/03/2017 00:00,Country_01,Local_03,Mining,II,IV,Male,Third Party,Individual protection equipment
15/03/2017 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Venomous Animals
15/03/2017 00:00,Country_03,Local_10,Others,I,I,Male,Third Party,Venomous Animals
15/03/2017 00:00,Country_02,Local_08,Metals,II,IV,Female,Employee,Chemical substances
18/03/2017 00:00,Country_01,Local_03,Mining,V,V,Male,Third Party (Remote),Power lock
22/03/2017 00:00,Country_01,Local_06,Metals,V,V,Male,Third Party (Remote),Power lock
